File Name,Folder,Start(CET),Duration[s],Peak[Mb/s],Protocol,Src Port(s),Dst Port(s),Src IPs,IPs Fragmented,Flags
HORNY-TCPPSH-S-01,TrafficAnalysis_HORNY-TCPPSH-S-01_2015-04-07_18_51_59.txt/,1428432721,203,40.994766,TCP,MANY,80:HTTP+SOME,3154585,0,PSH(3154621)SYN(3)
HORNY-TCPPSH-S-02,TrafficAnalysis_HORNY-TCPPSH-S-02_2015-04-07_21_34_57.txt/,1428442499,268,42.369488,TCP,MANY,80:HTTP+SOME,3857887,0,PSH(3857918)RST(1)SYN(3)
HORNY-TCPPTR-S-01,TrafficAnalysis_HORNY-TCPPTR-S-01_2015-04-07_18_02_23.txt/,1428429744,299,6.4E-4,UDP,123:NTP+SOME,80:HTTP+MANY,2,0,
HORNY-TCPPTR-S-02,TrafficAnalysis_HORNY-TCPPTR-S-02_2015-04-07_21_00_12.txt/,1428440413,297,0.012416,UDP,53:DNS+MANY,MANY,7,0,
HORNY-TCPRES2-S-01,TrafficAnalysis_HORNY-TCPRES2-S-01_2015-04-07_17_50_35.txt/,1428429036,297,0.012416,UDP,53:DNS+SOME,MANY,3,0,
HORNY-TCPRES2-S-02,TrafficAnalysis_HORNY-TCPRES2-S-02_2015-04-07_20_48_45.txt/,1428439726,298,0.011344,UDP,53:DNS+SOME,MANY,5,0,
HORNY-TCPRND-S-01,TrafficAnalysis_HORNY-TCPRND-S-01_2015-04-07_17_15_24.txt/,1428426924,298,0.694552,UDP,1900:SSDP+53:DNS+,80:HTTP+MANY,39,0,
HORNY-TCPRND-S-02,TrafficAnalysis_HORNY-TCPRND-S-02_2015-04-07_20_14_13.txt/,1428437654,298,0.27568,UDP,53:DNS+1900:SSDP+,80:HTTP+MANY,27,0,
HORNY-TCPRST-S-01,TrafficAnalysis_HORNY-TCPRST-S-01_2015-04-07_18_32_45.txt/,1428431567,281,21.207888,TCP,MANY,80:HTTP+MANY,613617,0,RST(613649)SYN(4)
HORNY-TCPRST-S-02,TrafficAnalysis_HORNY-TCPRST-S-02_2015-04-07_21_23_35.txt/,1428441816,298,0.011344,UDP,53:DNS+MANY,MANY,10,0,
HORNY-TCPSEQ-S-01,TrafficAnalysis_HORNY-TCPSEQ-S-01_2015-04-07_17_39_13.txt/,1428428354,298,7.004912,UDP,123:NTP+SOME,80:HTTP+MANY,3,0,
HORNY-TCPSEQ-S-02,TrafficAnalysis_HORNY-TCPSEQ-S-02_2015-04-07_20_37_07.txt/,1428439028,298,0.079872,UDP,53:DNS+SOME,MANY,11,0,
HORNY-TCPURG-S-01,TrafficAnalysis_HORNY-TCPURG-S-01_2015-04-07_18_21_48.txt/,1428430909,297,3.2E-4,UDP,53:DNS+,MANY,1,0,
HORNY-TCPURG-S-02,TrafficAnalysis_HORNY-TCPURG-S-02_2015-04-07_21_12_07.txt/,1428441129,298,0.104896,UDP,53:DNS+SOME,MANY,5,0,
IPSTR-ARME-S-01,TrafficAnalysis_IPSTR-ARME-S-01_2014-12-29_12_06_46.txt/,1419854811,164,30.855087,TCP,80:HTTP+SOME,80:HTTP+SOME,7,0,SYN(7)
